1	7 
2	7 
3	10 
4	10 
5	18 
6	4 
7	5 
8	20 
9	16 
10	7 
11	3 
12	14 
13	1 
14	7 
15	15 
16	14 
17	8 
18	7 
19	20 
20	5 
21	18 
22	7 
23	20 
24	1 
25	18 
26	14 
27	7 
28	12 
29	19 
30	12 
31	1 
32	6 
33	6 
34	20 
35	14 
36	15 
37	18 
38	5 
39	9 
40	14 
41	18 
42	15 
43	17 
44	18 
45	20 
46	2 
47	7 
48	8 
49	1 
50	15 
51	20 
52	12 
53	6 
54	12 
55	20 
56	6 
57	14 
58	4 
59	6 
60	15 
61	15 
62	10 
63	1 
64	4 
65	18 
66	13 
67	3 
68	16 
69	13 
70	12 
71	19 
72	4 
73	2 
74	17 
75	12 
76	8 
77	15 
78	5 
79	7 
80	13 
81	17 
82	18 
83	6 
84	5 
85	14 
86	4 
87	20 
88	15 
89	20 
90	10 
91	1 
92	3 
93	17 
94	15 
95	10 
96	12 
97	18 
98	17 
99	9 
100	12 
101	17 
102	15 
103	20 
104	12 
105	19 
106	6 
107	18 
108	3 
109	12 
110	18 
111	3 
112	6 
113	17 
114	20 
115	7 
116	20 
117	10 
118	7 
119	12 
120	12 
121	6 
122	14 
123	20 
124	20 
125	5 
126	16 
127	6 
128	16 
129	20 
130	17 
131	11 
132	1 
133	16 
134	11 
135	20 
136	12 
137	20 
138	13 
139	1 
140	15 
141	15 
142	12 
143	1 
144	2 
145	2 
146	1 
147	11 
148	7 
149	3 
150	14 
151	12 
152	10 
153	18 
154	3 
155	12 
156	12 
157	19 
158	14 
159	14 
160	17 
161	3 
162	1 
163	3 
164	8 
165	18 
166	15 
167	7 
168	10 
169	17 
170	4 
171	7 
172	2 
173	12 
174	5 
175	6 
176	19 
177	14 
178	16 
179	1 
180	1 
181	20 
182	20 
183	7 
184	10 
185	20 
186	1 
187	4 
188	11 
189	15 
190	2 
191	6 
192	3 
193	14 
194	8 
195	15 
196	16 
197	9 
198	15 
199	2 
200	15 
201	15 
202	6 
203	18 
204	17 
205	15 
206	10 
207	15 
208	20 
209	12 
210	20 
211	20 
212	12 
213	12 
214	6 
215	6 
216	12 
217	1 
218	3 
219	10 
220	12 
221	15 
222	19 
223	9 
224	4 
225	1 
226	15 
227	5 
228	20 
229	7 
230	12 
231	14 
232	12 
233	17 
234	1 
235	11 
236	5 
237	4 
238	12 
239	1 
240	15 
241	6 
242	15 
243	12 
244	10 
245	10 
246	6 
247	4 
248	6 
249	7 
250	8 
251	7 
252	7 
253	7 
254	1 
255	3 
256	19 
257	20 
258	12 
259	13 
260	6 
261	14 
262	7 
263	3 
264	14 
265	12 
266	12 
267	18 
268	10 
