degree distribution (probability density function of the degree in logarithmic bins) 
10.4298	0.136764
12.4514	0.0691451
14.9396	0.0607895
18.0727	0.038131
20.8406	0.0203225
24.5224	0.0167666
28.7711	0.0176479
33.6818	0.00794895
39.6078	0.00782835
46.9756	0.0053472

degree distribution (degree-occurrences) 
10	0.138
11	0.104
12	0.079
13	0.065
14	0.055
15	0.048
16	0.046
17	0.031
18	0.04
19	0.039
20	0.028
21	0.024
22	0.017
23	0.016
24	0.017
25	0.017
26	0.017
27	0.019
28	0.022
29	0.016
30	0.011
31	0.015
32	0.012
33	0.008
34	0.012
35	0.006
36	0.006
37	0.005
38	0.008
39	0.012
40	0.012
41	0.006
42	0.007
43	0.001
44	0.004
45	0.009
46	0.005
47	0.006
48	0.008
49	0.002
50	0.006
51	0.001


--------------------------------------
community distribution (size-occurrences)
21	0.0555556
24	0.0555556
31	0.0555556
36	0.111111
38	0.0555556
40	0.0555556
46	0.0555556
52	0.0555556
55	0.0555556
56	0.0555556
63	0.111111
69	0.0555556
76	0.0555556
95	0.0555556
99	0.0555556
100	0.0555556


--------------------------------------
mixing parameter
0	0.996
0.0196078	0.001
0.025	0.001
0.0714286	0.001
0.0833333	0.001

--------------------------------------
